《,<
ꑍ,讲
ꑊ,块
ꑋ,趣
ꑗ,类
ꑘ,呀
ꑕ,戏
ꑖ,曾
ꑓ,容
ꑙ,步
ꋶ,投
ꋴ,化
ꋽ,未
ꋼ,束
ꋯ,醒
ꋲ,威
ꋰ,班
ꋭ,终
ꋮ,差
ꋻ,梦
ꋺ,赢
ꌂ,药
ꌁ,迪
ꋾ,店
ꌅ,丽
ꌆ,卖
ꌈ,显
ꌇ,监
ꌃ,图
ꌄ,半
ꀑ,语
ꀒ,付
ꀏ,热
ꀐ,排
ꁁ,楚
ꁂ,偷
ꀿ,敢
ꁀ,油
ꀺ,餐
ꀽ,破
ꀻ,杯
ꀸ,市
ꀹ,城
ꁈ,哇
ꁉ,权
ꁆ,某
ꁇ,激
ꁌ,立
ꁍ,程
ꁏ,伊
ꁎ,讨
ꁊ,责
ꁋ,昨
ꁒ,闭
ꁓ,庭
ꁕ,落
ꁐ,饭
ꏾ,林
ꐂ,换
ꐀ,及
ꏿ,船
ꏼ,争
ꏽ,猜
ꐊ,级
ꐋ,姆
ꐈ,雷
ꐉ,刻
ꐎ,建
ꐆ,团
ꐇ,王
ꐅ,惊
ꐏ,迎
ꐑ,段
ꐍ,标
ꐔ,检
ꐕ,各
ꐗ,义
ꐖ,百
ꐒ,民
ꐓ,功
ꏈ,唯
ꏆ,夜
ꏇ,示
ꏒ,靠
ꏓ,释
ꏑ,脸
ꏏ,引
ꏍ,择
ꍽ,疑
ꎆ,赶
ꎇ,俩
ꎄ,独
ꎅ,冷
ꎂ,妹
ꎃ,楼
ꎁ,皮
ꎊ,存
ꍿ,练
ꎍ,娘
ꎌ,顿
ꎐ,断
ꎑ,设
ꎓ,松
ꎒ,博
ꎎ,置
ꎏ,逃
ꏋ,观
ꏗ,痛
ꏜ,狂
ꏝ,足
ꏟ,码
ꏞ,恐
ꏚ,吉
ꏛ,历
ꌒ,慢
ꌐ,妻
ꌑ,山
ꌜ,普
ꌝ,价
ꌛ,元
ꎭ,角
ꎮ,怀
ꎫ,床
ꎬ,奥
ꎸ,模
ꎹ,验
ꎶ,索
ꎷ,街
ꎴ,呼
ꎵ,祝
ꎲ,料
ꎳ,休
ꎼ,灵
ꎰ,狱
ꎽ,剧
ꎿ,乱
ꎾ,展
ꎺ,板
ꎻ,承
ꏂ,则
ꏃ,顾
ꏅ,深
ꏄ,产
ꏀ,洗
ꏁ,政
ꌋ,迷
ꌎ,领
ꌏ,午
ꌍ,纳
ꌌ,谎
ꌉ,具
ꌊ,退
ꌙ,福
ꌚ,习
ꌗ,秘
ꌘ,奶
ꌳ,遇
ꌱ,职
ꌲ,架
ꌺ,即
ꌻ,挺
ꌹ,史
ꌬ,负
ꌭ,千
ꌫ,脱
ꌷ,瑞
ꌸ,背
ꌵ,仅
ꌶ,追
ꌾ,伦
ꌿ,炸
ꌼ,资
ꌽ,画
ꍂ,踪
ꍃ,射
ꍅ,弃
ꍀ,傻
ꍁ,藏
ꌠ,屁
ꌕ,瞧
ꌡ,修
ꌣ,尸
ꌢ,闻
ꌞ,共
ꌟ,懂
ꌦ,蒂
ꌧ,危
ꌩ,专
ꌨ,呆
ꌤ,介
ꌥ,萨
ꄣ,魔
ꄤ,急
ꄡ,碰
ꄮ,甚
ꄯ,糕
ꄭ,苦
ꄜ,念
ꄟ,适
ꄠ,华
ꄞ,冲
ꄝ,骗
ꄚ,厌
ꄛ,型
ꄫ,麦
ꄬ,似
ꄩ,红
ꄲ,值
ꄧ,脚
ꄳ,六
ꄵ,谋
ꄴ,套
ꄰ,凯
ꄱ,众
ꀍ,预
ꀎ,际
ꀌ,咱
ꃬ,波
ꃭ,卫
ꃪ,聊
ꃫ,养
ꃲ,导
ꃤ,虑
ꃨ,私
ꃧ,戴
ꃥ,毁
ꃢ,鱼
ꃣ,滚
ꃰ,志
ꃱ,杂
ꃮ,居
ꃯ,词
ꃶ,食
ꃷ,诺
ꃹ,读
ꃸ,误
ꃴ,撒
ꃵ,突
ꃼ,牛
ꃺ,馆
ꃻ,规
ꊂ,陪
ꊃ,州
ꊀ,肉
ꊁ,形
ꊋ,凶
ꊌ,森
ꊊ,商
ꊈ,纪
ꊉ,浪
ꊇ,石
ꀕ,顺
ꊅ,举
ꊆ,按
ꑟ,旅
ꑣ,努
ꑤ,坚
ꑡ,测
ꑢ,免
ꑠ,喔
ꑝ,丝
ꑞ,辆
ꑩ,乔
ꑪ,防
ꑭ,句
ꑮ,印
ꑰ,恋
ꑫ,弗
ꑬ,季
ꑳ,严
ꑷ,推
ꑸ,伯
ꑵ,莉
ꑶ,武
ꑴ,胜
ꑱ,毛
ꑲ,压
ꑿ,败
ꒀ,究
ꑽ,评
ꑾ,屋
ꒃ,双
ꑻ,牙
ꑼ,斗
ꑹ,鸡
ꑺ,审
ꒄ,南
ꒆ,速
ꒅ,蠢
ꒂ,丈
ꒉ,守
ꒊ,获
ꒌ,八
ꒋ,致
ꒇ,细
ꒈ,勒
ꊖ,称
ꊗ,塔
ꊔ,丢
ꊕ,冰
ꊡ,态
ꊟ,吓
ꍈ,古
ꍆ,亡
ꍇ,状
ꍓ,鲁
ꍔ,疗
ꍑ,操
ꍒ,遗
ꍏ,判
ꍍ,响
ꍗ,网
ꍋ,箱
ꍚ,货
ꍕ,围
ꍖ,签
ꍝ,牌
ꍞ,户
ꍠ,寻
ꍟ,质
ꍛ,供
ꊏ,奖
ꊒ,袋
ꊑ,胡
ꊐ,脏
ꊎ,堂
ꊝ,曼
ꊛ,效
ꊜ,露
ꊤ,替
ꊙ,娜
ꊘ,座
ꊥ,园
ꊧ,拥
ꊢ,睛
ꊪ,冒
ꊫ,甜
ꊭ,股
ꊬ,香
ꊨ,笔
ꊩ,沙
ꋚ,扰
ꋘ,挑
ꋙ,姑
ꋠ,爆
ꋟ,镇
ꋒ,暴
ꋖ,困
ꋓ,项
ꋐ,概
ꋑ,摩
ꋜ,虽
ꋤ,纽
ꋦ,享
ꋥ,配
ꋩ,迹
ꋪ,登
ꋬ,诞
ꋫ,竟
ꋧ,叔
ꋨ,捕
